Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 100
100
Warning: incorrect parameter Leading dimension of array (100),
must be not less than (1000),
set to default value (1000).
Number of trials to run: 500
64
500
Data alignment value (in Kbytes): 64
Current date/time: Wed Nov 21 23:52:37 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 4

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.035      19.0313  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0863  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6628  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.4130  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5828  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9558  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0612  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5999  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0017  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.037      18.2144  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1892  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9796  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0873  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0227  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0774  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0362  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7385  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0307  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9660  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.037      18.2761  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9956  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9913  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9569  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9897  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0368  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0856  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6867  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5967  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6617  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0879  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0602  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0774  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.037      18.0882  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9328  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0497  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.037      18.2366  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0840  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1644  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9853  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6669  9.419757e-13 3.212379e-02   pass
